,TransactionCount,Recency,AverageAmount,Age,TotalAmount,Cluster
0,1,96,168.0,23,168.0,2
1,1,359,22.0,32,22.0,0
2,1,101,300.0,30,300.0,0
3,1,53,30.0,25,30.0,2
4,1,124,512.0,33,512.0,1
5,1,135,300.0,34,300.0,0
6,1,101,50.0,27,50.0,2
7,1,54,370.0,22,370.0,2
8,1,358,200.0,32,200.0,0
9,1,267,710.0,42,710.0,1
10,1,130,200.0,37,200.0,0
11,1,23,210.0,29,210.0,2
12,1,237,260.0,27,260.0,2
13,1,237,85.0,26,85.0,2
14,1,206,400.0,26,400.0,2
15,1,127,30.0,42,30.0,0
16,1,268,151.0,26,151.0,2
17,1,128,30.0,27,30.0,2
18,1,84,18.5,25,18.5,2
19,1,359,52.0,24,52.0,2
20,2,53,523.5,25,1047.0,1
21,1,115,300.0,29,300.0,2
22,1,127,712.0,26,712.0,1
23,1,267,110.0,35,110.0,0
24,1,126,390.0,30,390.0,0
25,1,23,51.0,27,51.0,2
26,1,85,100.0,21,100.0,2
27,1,136,100.0,26,100.0,2
28,1,358,25.0,25,25.0,2
29,1,146,249.79,31,249.79,0
30,1,128,819.0,24,819.0,1
31,1,145,500.0,34,500.0,0
32,1,129,285.0,35,285.0,0
33,1,328,745.0,27,745.0,1
34,1,137,220.0,21,220.0,2
35,1,327,600.0,29,600.0,1
36,1,206,20.0,23,20.0,2
37,1,176,322.0,25,322.0,2
38,1,141,230.0,25,230.0,2
39,1,128,529.0,36,529.0,0
40,1,23,20.0,27,20.0,2
41,1,127,5.36,27,5.36,2
42,1,207,200.0,30,200.0,2
43,1,130,189.0,27,189.0,2
44,1,110,635.0,33,635.0,1
45,1,206,321.0,30,321.0,0
46,1,114,943.0,29,943.0,1
47,1,207,850.0,30,850.0,1
48,1,125,50.0,27,50.0,2
49,1,114,450.0,22,450.0,2
50,1,298,1000.0,25,1000.0,1
51,1,237,299.78,24,299.78,2
52,1,84,200.0,32,200.0,0
53,1,124,50.0,30,50.0,2
54,1,137,231.0,40,231.0,0
55,1,145,330.9,29,330.9,2
56,1,53,100.0,34,100.0,0
57,1,53,150.0,30,150.0,2
58,1,299,30.0,28,30.0,2
59,1,110,100.0,27,100.0,2
60,1,84,307.0,34,307.0,0
61,1,299,100.0,29,100.0,2
62,1,207,418.0,22,418.0,2
63,1,114,250.0,42,250.0,0
64,1,359,300.0,25,300.0,2
65,1,146,40.0,26,40.0,2
66,1,177,25.0,27,25.0,2
67,1,137,39.0,27,39.0,2
68,1,298,535.0,30,535.0,1
69,1,98,375.0,31,375.0,0
70,1,176,794.0,28,794.0,1
71,1,207,632.0,23,632.0,1
72,1,137,425.0,35,425.0,0
73,1,141,700.0,32,700.0,1
74,1,139,100.0,28,100.0,2
75,1,54,615.0,26,615.0,1
76,1,53,24.0,25,24.0,2
77,1,135,520.0,31,520.0,1
78,1,128,290.0,28,290.0,2
79,1,141,1.0,42,1.0,0
80,1,137,40.0,24,40.0,2
81,1,127,198.0,24,198.0,2
82,1,141,550.0,30,550.0,1
83,1,146,100.0,27,100.0,2
84,1,267,195.0,27,195.0,2
85,1,128,50.0,24,50.0,2
86,1,24,20.0,27,20.0,2
87,1,267,25.0,26,25.0,2
88,1,328,12.0,26,12.0,2
89,1,127,200.0,28,200.0,2
90,1,123,100.0,29,100.0,2
91,1,134,485.0,35,485.0,0
92,1,176,500.0,36,500.0,0
93,1,110,20.0,29,20.0,2
94,1,139,149.0,33,149.0,0
95,1,125,300.0,29,300.0,2
96,1,238,100.0,29,100.0,2
97,1,115,120.0,22,120.0,2
98,1,358,500.0,26,500.0,1
99,1,141,273.2,29,273.2,2
100,1,237,926.0,26,926.0,1
101,1,53,100.0,29,100.0,2
102,1,139,312.0,35,312.0,0
103,1,53,200.0,23,200.0,2
104,1,110,276.5,41,276.5,0
105,1,139,280.0,27,280.0,2
106,1,105,15.0,30,15.0,2
107,1,358,348.0,28,348.0,2
108,1,128,395.51,33,395.51,0
109,1,298,200.0,29,200.0,2
110,1,123,999.0,28,999.0,1
111,1,84,240.0,24,240.0,2
112,1,177,10.0,35,10.0,0
113,1,109,480.0,24,480.0,1
114,1,132,69.0,22,69.0,2
115,1,268,166.0,28,166.0,2
116,1,141,930.0,33,930.0,1
117,1,128,500.0,35,500.0,0
118,1,136,1000.0,38,1000.0,1
119,1,24,41.0,28,41.0,2
120,1,136,10.0,23,10.0,2
121,1,145,482.35,24,482.35,1
122,1,132,50.0,28,50.0,2
123,1,145,26.0,31,26.0,2
124,1,298,746.01,24,746.01,1
125,1,141,313.95,25,313.95,2
126,1,54,250.0,26,250.0,2
127,1,140,10.0,25,10.0,2
128,1,109,850.0,23,850.0,1
129,1,140,30.0,38,30.0,0
130,1,145,100.0,25,100.0,2
131,1,124,95.0,27,95.0,2
132,1,123,147.0,25,147.0,2
133,1,53,500.0,33,500.0,1
134,1,97,550.0,24,550.0,1
135,1,84,70.0,30,70.0,2
136,1,97,50.0,25,50.0,2
137,1,298,425.72,37,425.72,0
138,1,129,145.75,28,145.75,2
139,1,138,250.0,26,250.0,2
140,1,359,360.0,22,360.0,2
141,1,133,414.0,21,414.0,2
142,1,133,196.0,26,196.0,2
143,1,268,212.0,31,212.0,0
144,1,139,420.0,30,420.0,0
145,1,53,100.0,25,100.0,2
146,1,85,1000.0,26,1000.0,1
147,1,84,100.0,26,100.0,2
148,1,139,20.0,26,20.0,2
149,1,176,200.0,26,200.0,2
150,1,105,538.0,24,538.0,1
151,1,238,200.0,35,200.0,0
152,1,115,888.64,24,888.64,1
153,1,109,30.0,33,30.0,0
154,1,134,719.28,27,719.28,1
155,1,124,50.0,27,50.0,2
156,1,84,100.0,25,100.0,2
157,1,358,646.0,28,646.0,1
158,1,141,55.0,23,55.0,2
159,1,138,200.0,23,200.0,2
160,1,114,179.0,28,179.0,2
161,1,109,630.0,34,630.0,1
162,1,110,93.0,27,93.0,2
163,1,101,40.0,27,40.0,2
164,1,177,40.0,24,40.0,2
165,1,132,120.0,30,120.0,2
166,1,124,50.0,34,50.0,0
167,1,53,7.0,23,7.0,2
168,1,133,200.0,28,200.0,2
169,1,131,56.0,21,56.0,2
170,1,206,24.0,25,24.0,2
171,1,127,240.0,36,240.0,0
172,1,133,49.92,24,49.92,2
173,1,24,101.15,22,101.15,2
174,1,176,581.0,27,581.0,1
175,1,141,68.0,25,68.0,2
176,1,145,36.0,24,36.0,2
177,1,85,1000.0,30,1000.0,1
178,1,268,1.0,25,1.0,2
179,1,98,165.0,31,165.0,0
180,1,140,292.0,29,292.0,2
181,1,139,32.0,34,32.0,0
182,1,115,80.0,29,80.0,2
183,1,131,21.0,23,21.0,2
184,1,136,53.0,25,53.0,2
185,1,327,184.0,24,184.0,2
186,1,146,50.0,27,50.0,2
187,1,126,198.0,28,198.0,2
188,1,299,200.0,34,200.0,0
189,1,134,94.0,26,94.0,2
190,1,131,557.0,26,557.0,1
191,1,359,110.0,33,110.0,0
192,1,141,200.0,29,200.0,2
193,1,359,604.0,33,604.0,1
194,1,237,93.0,27,93.0,2
195,1,108,50.0,26,50.0,2
196,1,176,850.0,23,850.0,1
197,1,268,170.84,26,170.84,2
198,1,206,295.0,25,295.0,2
199,1,140,98.0,42,98.0,0
200,1,135,200.0,22,200.0,2
201,1,327,100.0,27,100.0,2
202,1,108,100.0,27,100.0,2
203,1,140,299.0,31,299.0,0
204,1,136,30.0,31,30.0,2
205,1,298,772.0,26,772.0,1
206,1,85,47.0,30,47.0,2
207,1,125,628.43,24,628.43,1
208,1,130,1.0,18,1.0,2
209,1,132,164.42,26,164.42,2
210,1,84,129.0,34,129.0,0
211,1,299,323.0,25,323.0,2
212,1,53,200.0,26,200.0,2
213,1,298,575.0,24,575.0,1
214,1,109,197.0,27,197.0,2
215,1,177,661.0,27,661.0,1
216,1,24,98.97,31,98.97,2
217,1,53,200.0,25,200.0,2
218,1,109,377.8,25,377.8,2
219,1,298,610.0,29,610.0,1
220,1,206,455.0,26,455.0,1
221,1,54,147.0,25,147.0,2
222,1,131,557.5,26,557.5,1
223,1,138,332.0,29,332.0,2
224,1,124,398.81,39,398.81,0
225,1,141,1000.0,26,1000.0,1
226,1,237,200.0,24,200.0,2
227,1,130,748.0,30,748.0,1
228,1,359,717.0,26,717.0,1
229,1,84,10.0,23,10.0,2
230,1,207,539.84,35,539.84,1
231,1,114,150.0,36,150.0,0
232,1,176,24.0,21,24.0,2
233,1,138,210.0,28,210.0,2
234,1,137,711.0,25,711.0,1
235,1,298,67.0,24,67.0,2
236,1,129,250.0,35,250.0,0
237,1,85,606.9,27,606.9,1
238,1,97,199.0,28,199.0,2
239,1,128,10.0,19,10.0,2
240,1,136,255.0,30,255.0,0
241,1,138,168.0,25,168.0,2
242,1,54,155.0,42,155.0,0
243,1,176,195.0,24,195.0,2
244,1,358,10.0,19,10.0,2
245,1,85,26.0,27,26.0,2
246,1,130,180.0,25,180.0,2
247,1,146,21.0,27,21.0,2
248,1,131,859.0,30,859.0,1
249,1,137,50.0,31,50.0,2
250,1,110,700.0,33,700.0,1
251,1,298,313.95,30,313.95,0
252,1,108,50.0,24,50.0,2
253,1,146,514.0,32,514.0,1
254,1,139,265.0,27,265.0,2
255,1,85,544.18,27,544.18,1
256,1,84,150.0,35,150.0,0
257,1,114,823.91,25,823.91,1
258,1,97,200.0,33,200.0,0
