,CustomerID,Age,TransactionCount,Recency,AverageAmount,TotalAmount,Segment
0,C1010214,23,1,96,168.0,168.0,New Customers
1,C1010241,32,1,359,22.0,22.0,Hibernating Customers
2,C1010245,30,1,101,300.0,300.0,Other
3,C1010247,25,1,53,30.0,30.0,New Customers
4,C1010389,33,1,124,512.0,512.0,Other
5,C1010551,34,1,135,300.0,300.0,Other
6,C1010556,27,1,101,50.0,50.0,New Customers
7,C1010560,22,1,54,370.0,370.0,Other
8,C1010622,32,1,358,200.0,200.0,Hibernating Customers
9,C1010660,42,1,267,710.0,710.0,Big Spenders
10,C1010728,37,1,130,200.0,200.0,Other
11,C1010763,29,1,23,210.0,210.0,Other
12,C1010814,27,1,237,260.0,260.0,Hibernating Customers
13,C1011045,26,1,237,85.0,85.0,Hibernating Customers
14,C1011077,26,1,206,400.0,400.0,Big Spenders
15,C1011312,42,1,127,30.0,30.0,New Customers
16,C1011337,26,1,268,151.0,151.0,Hibernating Customers
17,C1011370,27,1,128,30.0,30.0,New Customers
18,C1011623,25,1,84,18.5,18.5,New Customers
19,C1011636,24,1,359,52.0,52.0,Hibernating Customers
20,C1011716,25,2,53,523.5,1047.0,Other
21,C1011777,29,1,115,300.0,300.0,Other
22,C1011847,26,1,127,712.0,712.0,Other
23,C1012021,35,1,267,110.0,110.0,Hibernating Customers
24,C1012026,30,1,126,390.0,390.0,Other
25,C1012046,27,1,23,51.0,51.0,New Customers
26,C1012067,21,1,85,100.0,100.0,New Customers
27,C1012122,26,1,136,100.0,100.0,Other
28,C1012164,25,1,358,25.0,25.0,Hibernating Customers
29,C1012213,31,1,146,249.79,249.79,Hibernating Customers
30,C1012250,24,1,128,819.0,819.0,Other
31,C1012265,34,1,145,500.0,500.0,Big Spenders
32,C1012373,35,1,129,285.0,285.0,Other
33,C1012432,27,1,328,745.0,745.0,Big Spenders
34,C1012563,21,1,137,220.0,220.0,Other
35,C1012656,29,1,327,600.0,600.0,Big Spenders
36,C1012662,23,1,206,20.0,20.0,Hibernating Customers
37,C1012738,25,1,176,322.0,322.0,Big Spenders
38,C1013033,25,1,141,230.0,230.0,Hibernating Customers
39,C1013060,36,1,128,529.0,529.0,Other
40,C1013061,27,1,23,20.0,20.0,New Customers
41,C1013183,27,1,127,5.36,5.36,New Customers
42,C1013338,30,1,207,200.0,200.0,Hibernating Customers
43,C1013346,27,1,130,189.0,189.0,Other
44,C1013478,33,1,110,635.0,635.0,Other
45,C1013481,30,1,206,321.0,321.0,Big Spenders
46,C1013562,29,1,114,943.0,943.0,Other
47,C1013624,30,1,207,850.0,850.0,Big Spenders
48,C1013689,27,1,125,50.0,50.0,New Customers
49,C1013775,22,1,114,450.0,450.0,Other
50,C1013919,25,1,298,1000.0,1000.0,Big Spenders
51,C1013924,24,1,237,299.78,299.78,Big Spenders
52,C1013964,32,1,84,200.0,200.0,Other
53,C1014061,30,1,124,50.0,50.0,New Customers
54,C1014091,40,1,137,231.0,231.0,Other
55,C1014169,29,1,145,330.9,330.9,Big Spenders
56,C1014389,34,1,53,100.0,100.0,New Customers
57,C1014445,30,1,53,150.0,150.0,New Customers
58,C1014651,28,1,299,30.0,30.0,Hibernating Customers
59,C1014652,27,1,110,100.0,100.0,New Customers
60,C1014666,34,1,84,307.0,307.0,Other
61,C1014681,29,1,299,100.0,100.0,Hibernating Customers
62,C1014720,22,1,207,418.0,418.0,Big Spenders
63,C1014773,42,1,114,250.0,250.0,Other
64,C1014780,25,1,359,300.0,300.0,Big Spenders
65,C1014829,26,1,146,40.0,40.0,Hibernating Customers
66,C1015025,27,1,177,25.0,25.0,Hibernating Customers
67,C1015030,27,1,137,39.0,39.0,Other
68,C1015079,30,1,298,535.0,535.0,Big Spenders
69,C1015146,31,1,98,375.0,375.0,Other
70,C1015271,28,1,176,794.0,794.0,Big Spenders
71,C1015282,23,1,207,632.0,632.0,Big Spenders
72,C1015322,35,1,137,425.0,425.0,Other
73,C1015332,32,1,141,700.0,700.0,Big Spenders
74,C1015375,28,1,139,100.0,100.0,Other
75,C1015427,26,1,54,615.0,615.0,Other
76,C1015479,25,1,53,24.0,24.0,New Customers
77,C1015570,31,1,135,520.0,520.0,Other
78,C1015579,28,1,128,290.0,290.0,Other
79,C1015648,42,1,141,1.0,1.0,Hibernating Customers
80,C1015752,24,1,137,40.0,40.0,Other
81,C1015786,24,1,127,198.0,198.0,Other
82,C1015837,30,1,141,550.0,550.0,Big Spenders
83,C1016015,27,1,146,100.0,100.0,Hibernating Customers
84,C1016079,27,1,267,195.0,195.0,Hibernating Customers
85,C1016118,24,1,128,50.0,50.0,New Customers
86,C1016170,27,1,24,20.0,20.0,New Customers
87,C1016185,26,1,267,25.0,25.0,Hibernating Customers
88,C1016275,26,1,328,12.0,12.0,Hibernating Customers
89,C1016322,28,1,127,200.0,200.0,Other
90,C1016342,29,1,123,100.0,100.0,New Customers
91,C1016359,35,1,134,485.0,485.0,Other
92,C1016365,36,1,176,500.0,500.0,Big Spenders
93,C1016366,29,1,110,20.0,20.0,New Customers
94,C1016444,33,1,139,149.0,149.0,Other
95,C1016449,29,1,125,300.0,300.0,Other
96,C1016472,29,1,238,100.0,100.0,Hibernating Customers
97,C1016558,22,1,115,120.0,120.0,New Customers
98,C1016587,26,1,358,500.0,500.0,Big Spenders
99,C1016769,29,1,141,273.2,273.2,Hibernating Customers
100,C1016816,26,1,237,926.0,926.0,Big Spenders
101,C1016923,29,1,53,100.0,100.0,New Customers
102,C1017060,35,1,139,312.0,312.0,Other
103,C1017112,23,1,53,200.0,200.0,Other
104,C1017126,41,1,110,276.5,276.5,Other
105,C1017224,27,1,139,280.0,280.0,Other
106,C1017321,30,1,105,15.0,15.0,New Customers
107,C1017338,28,1,358,348.0,348.0,Big Spenders
108,C1017345,33,1,128,395.51,395.51,Other
109,C1017380,29,1,298,200.0,200.0,Hibernating Customers
110,C1017415,28,1,123,999.0,999.0,Other
111,C1017519,24,1,84,240.0,240.0,Other
112,C1017528,35,1,177,10.0,10.0,Hibernating Customers
113,C1017574,24,1,109,480.0,480.0,Other
114,C1017642,22,1,132,69.0,69.0,Other
115,C1017691,28,1,268,166.0,166.0,Hibernating Customers
116,C1017816,33,1,141,930.0,930.0,Big Spenders
117,C1017839,35,1,128,500.0,500.0,Other
118,C1017872,38,1,136,1000.0,1000.0,Other
119,C1017919,28,1,24,41.0,41.0,New Customers
120,C1017925,23,1,136,10.0,10.0,Other
121,C1017946,24,1,145,482.35,482.35,Big Spenders
122,C1018064,28,1,132,50.0,50.0,Other
123,C1018239,31,1,145,26.0,26.0,Hibernating Customers
124,C1018272,24,1,298,746.01,746.01,Big Spenders
125,C1018274,25,1,141,313.95,313.95,Big Spenders
126,C1018433,26,1,54,250.0,250.0,Other
127,C1018479,25,1,140,10.0,10.0,Hibernating Customers
128,C1018522,23,1,109,850.0,850.0,Other
129,C1018546,38,1,140,30.0,30.0,Hibernating Customers
130,C1018564,25,1,145,100.0,100.0,Hibernating Customers
131,C1018786,27,1,124,95.0,95.0,New Customers
132,C1018868,25,1,123,147.0,147.0,New Customers
133,C1018928,33,1,53,500.0,500.0,Other
134,C1018964,24,1,97,550.0,550.0,Other
135,C1018974,30,1,84,70.0,70.0,New Customers
136,C1019047,25,1,97,50.0,50.0,New Customers
137,C1019178,37,1,298,425.72,425.72,Big Spenders
138,C1019183,28,1,129,145.75,145.75,Other
139,C1019233,26,1,138,250.0,250.0,Other
140,C1019277,22,1,359,360.0,360.0,Big Spenders
141,C1019342,21,1,133,414.0,414.0,Other
142,C1019527,26,1,133,196.0,196.0,Other
143,C1019613,31,1,268,212.0,212.0,Hibernating Customers
144,C1019626,30,1,139,420.0,420.0,Other
145,C1019633,25,1,53,100.0,100.0,New Customers
146,C1019822,26,1,85,1000.0,1000.0,Other
147,C1019832,26,1,84,100.0,100.0,New Customers
148,C1019836,26,1,139,20.0,20.0,Other
149,C1019864,26,1,176,200.0,200.0,Hibernating Customers
150,C1019880,24,1,105,538.0,538.0,Other
151,C1019881,35,1,238,200.0,200.0,Hibernating Customers
152,C1019922,24,1,115,888.64,888.64,Other
153,C1020019,33,1,109,30.0,30.0,New Customers
154,C1020050,27,1,134,719.28,719.28,Other
155,C1020090,27,1,124,50.0,50.0,New Customers
156,C1020174,25,1,84,100.0,100.0,New Customers
157,C1020176,28,1,358,646.0,646.0,Big Spenders
158,C1020185,23,1,141,55.0,55.0,Hibernating Customers
159,C1020236,23,1,138,200.0,200.0,Other
160,C1020383,28,1,114,179.0,179.0,Other
161,C1020421,34,1,109,630.0,630.0,Other
162,C1020433,27,1,110,93.0,93.0,New Customers
163,C1020440,27,1,101,40.0,40.0,New Customers
164,C1020543,24,1,177,40.0,40.0,Hibernating Customers
165,C1020712,30,1,132,120.0,120.0,Other
166,C1020716,34,1,124,50.0,50.0,New Customers
167,C1020768,23,1,53,7.0,7.0,New Customers
168,C1020887,28,1,133,200.0,200.0,Other
169,C1021027,21,1,131,56.0,56.0,Other
170,C1021039,25,1,206,24.0,24.0,Hibernating Customers
171,C1021057,36,1,127,240.0,240.0,Other
172,C1021063,24,1,133,49.92,49.92,Other
173,C1021064,22,1,24,101.15,101.15,New Customers
174,C1021130,27,1,176,581.0,581.0,Big Spenders
175,C1021180,25,1,141,68.0,68.0,Hibernating Customers
176,C1021215,24,1,145,36.0,36.0,Hibernating Customers
177,C1021253,30,1,85,1000.0,1000.0,Other
178,C1021327,25,1,268,1.0,1.0,Hibernating Customers
179,C1021452,31,1,98,165.0,165.0,New Customers
180,C1021522,29,1,140,292.0,292.0,Hibernating Customers
181,C1021558,34,1,139,32.0,32.0,Other
182,C1021580,29,1,115,80.0,80.0,New Customers
183,C1021582,23,1,131,21.0,21.0,Other
184,C1021630,25,1,136,53.0,53.0,Other
185,C1021720,24,1,327,184.0,184.0,Hibernating Customers
186,C1021758,27,1,146,50.0,50.0,Hibernating Customers
187,C1021847,28,1,126,198.0,198.0,Other
188,C1021942,34,1,299,200.0,200.0,Hibernating Customers
189,C1021947,26,1,134,94.0,94.0,Other
190,C1021959,26,1,131,557.0,557.0,Other
191,C1021961,33,1,359,110.0,110.0,Hibernating Customers
192,C1021982,29,1,141,200.0,200.0,Hibernating Customers
193,C1021984,33,1,359,604.0,604.0,Big Spenders
194,C1022068,27,1,237,93.0,93.0,Hibernating Customers
195,C1022163,26,1,108,50.0,50.0,New Customers
196,C1022265,23,1,176,850.0,850.0,Big Spenders
197,C1022273,26,1,268,170.84,170.84,Hibernating Customers
198,C1022361,25,1,206,295.0,295.0,Hibernating Customers
199,C1022588,42,1,140,98.0,98.0,Hibernating Customers
200,C1022645,22,1,135,200.0,200.0,Other
201,C1022674,27,1,327,100.0,100.0,Hibernating Customers
202,C1022712,27,1,108,100.0,100.0,New Customers
203,C1022756,31,1,140,299.0,299.0,Big Spenders
204,C1022789,31,1,136,30.0,30.0,Other
205,C1022837,26,1,298,772.0,772.0,Big Spenders
206,C1022861,30,1,85,47.0,47.0,New Customers
207,C1022887,24,1,125,628.43,628.43,Other
208,C1022926,18,1,130,1.0,1.0,Other
209,C1023020,26,1,132,164.42,164.42,Other
210,C1023038,34,1,84,129.0,129.0,New Customers
211,C1023232,25,1,299,323.0,323.0,Big Spenders
212,C1023268,26,1,53,200.0,200.0,Other
213,C1023541,24,1,298,575.0,575.0,Big Spenders
214,C1023592,27,1,109,197.0,197.0,Other
215,C1023655,27,1,177,661.0,661.0,Big Spenders
216,C1023716,31,1,24,98.97,98.97,New Customers
217,C1023751,25,1,53,200.0,200.0,Other
218,C1023876,25,1,109,377.8,377.8,Other
219,C1023892,29,1,298,610.0,610.0,Big Spenders
220,C1023922,26,1,206,455.0,455.0,Big Spenders
221,C1023955,25,1,54,147.0,147.0,New Customers
222,C1023987,26,1,131,557.5,557.5,Other
223,C1024074,29,1,138,332.0,332.0,Other
224,C1024087,39,1,124,398.81,398.81,Other
225,C1024126,26,1,141,1000.0,1000.0,Big Spenders
226,C1024133,24,1,237,200.0,200.0,Hibernating Customers
227,C1024224,30,1,130,748.0,748.0,Other
228,C1024291,26,1,359,717.0,717.0,Big Spenders
229,C1024359,23,1,84,10.0,10.0,New Customers
230,C1024378,35,1,207,539.84,539.84,Big Spenders
231,C1024422,36,1,114,150.0,150.0,New Customers
232,C1024444,21,1,176,24.0,24.0,Hibernating Customers
233,C1024463,28,1,138,210.0,210.0,Other
234,C1024513,25,1,137,711.0,711.0,Other
235,C1024537,24,1,298,67.0,67.0,Hibernating Customers
236,C1024554,35,1,129,250.0,250.0,Other
237,C1024583,27,1,85,606.9,606.9,Other
238,C1024635,28,1,97,199.0,199.0,Other
239,C1024639,19,1,128,10.0,10.0,New Customers
240,C1024640,30,1,136,255.0,255.0,Other
241,C1024641,25,1,138,168.0,168.0,Other
242,C1024650,42,1,54,155.0,155.0,New Customers
243,C1024676,24,1,176,195.0,195.0,Hibernating Customers
244,C1024729,19,1,358,10.0,10.0,Hibernating Customers
245,C1024813,27,1,85,26.0,26.0,New Customers
246,C1024849,25,1,130,180.0,180.0,Other
247,C1024850,27,1,146,21.0,21.0,Hibernating Customers
248,C1025017,30,1,131,859.0,859.0,Other
249,C1025134,31,1,137,50.0,50.0,Other
250,C1025173,33,1,110,700.0,700.0,Other
251,C1025189,30,1,298,313.95,313.95,Big Spenders
252,C1025211,24,1,108,50.0,50.0,New Customers
253,C1025542,32,1,146,514.0,514.0,Big Spenders
254,C1025567,27,1,139,265.0,265.0,Other
255,C1025569,27,1,85,544.18,544.18,Other
256,C1025718,35,1,84,150.0,150.0,New Customers
257,C1025725,25,1,114,823.91,823.91,Other
258,C1025756,33,1,97,200.0,200.0,Other
259,C1025791,38,1,358,196.62,196.62,Hibernating Customers
260,C1025840,27,1,109,500.0,500.0,Other
261,C1026062,32,1,85,230.0,230.0,Other
262,C1026159,24,1,299,11.0,11.0,Hibernating Customers
263,C1026172,33,1,114,161.0,161.0,New Customers
264,C1026232,36,1,140,97.0,97.0,Hibernating Customers
265,C1026348,22,1,53,561.0,561.0,Other
266,C1026412,28,1,359,305.0,305.0,Big Spenders
267,C1026413,32,1,135,147.0,147.0,Other
268,C1026437,27,1,131,200.0,200.0,Other
269,C1026587,34,1,23,155.0,155.0,New Customers
270,C1026588,29,1,115,30.0,30.0,New Customers
271,C1026660,27,1,114,550.0,550.0,Other
272,C1026776,34,1,268,700.0,700.0,Big Spenders
273,C1026786,25,1,130,399.0,399.0,Other
274,C1026886,30,1,328,320.0,320.0,Big Spenders
275,C1026912,31,1,139,97.0,97.0,Other
276,C1026935,24,1,24,100.0,100.0,New Customers
277,C1027050,26,1,140,786.0,786.0,Big Spenders
278,C1027058,32,1,146,1.0,1.0,Hibernating Customers
279,C1027122,24,1,139,1000.0,1000.0,Other
280,C1027372,36,1,54,77.0,77.0,New Customers
281,C1027414,41,1,139,90.0,90.0,Other
282,C1027489,26,1,114,50.0,50.0,New Customers
283,C1027550,21,1,137,6.05,6.05,Other
284,C1027566,25,1,358,10.0,10.0,Hibernating Customers
285,C1027578,26,1,110,50.0,50.0,New Customers
286,C1027636,26,1,328,350.0,350.0,Big Spenders
287,C1027642,26,1,124,1000.0,1000.0,Other
288,C1027759,21,1,359,50.0,50.0,Hibernating Customers
289,C1027765,25,1,84,50.0,50.0,New Customers
290,C1027818,26,1,206,295.0,295.0,Hibernating Customers
291,C1027829,40,1,328,495.0,495.0,Big Spenders
292,C1027871,31,1,298,91.0,91.0,Hibernating Customers
293,C1027873,29,1,97,76.0,76.0,New Customers
294,C1028032,24,1,109,500.0,500.0,Other
295,C1028151,29,1,132,100.0,100.0,Other
296,C1028177,28,1,24,100.0,100.0,New Customers
297,C1028260,35,1,24,470.0,470.0,Other
298,C1028285,30,1,299,480.0,480.0,Big Spenders
299,C1028353,25,1,84,200.0,200.0,Other
300,C1028466,25,1,97,200.0,200.0,Other
301,C1028573,29,1,23,500.0,500.0,Other
302,C1028743,26,1,145,259.0,259.0,Hibernating Customers
303,C1028770,28,1,125,570.0,570.0,Other
304,C1028788,24,1,138,400.0,400.0,Other
305,C1028821,27,1,84,641.0,641.0,Other
306,C1028875,20,1,328,150.0,150.0,Hibernating Customers
307,C1028927,32,1,141,290.0,290.0,Hibernating Customers
308,C1028954,23,1,141,606.9,606.9,Big Spenders
309,C1029135,29,1,108,360.0,360.0,Other
310,C1029160,29,1,131,79.0,79.0,Other
311,C1029280,26,1,141,316.0,316.0,Big Spenders
312,C1029377,37,1,146,490.0,490.0,Big Spenders
313,C1029383,33,1,97,240.0,240.0,Other
314,C1029427,35,1,108,685.0,685.0,Other
315,C1029531,32,1,146,60.0,60.0,Hibernating Customers
316,C1029565,21,1,136,17.0,17.0,Other
317,C1029627,22,1,131,290.0,290.0,Other
318,C1029742,35,1,98,159.0,159.0,New Customers
319,C1029756,24,1,206,500.0,500.0,Big Spenders
320,C1029785,25,1,328,30.0,30.0,Hibernating Customers
321,C1029821,35,1,140,30.0,30.0,Hibernating Customers
322,C1029945,23,1,108,100.0,100.0,New Customers
323,C1030082,25,1,146,100.0,100.0,Hibernating Customers
324,C1030089,26,1,128,46.0,46.0,New Customers
325,C1030151,33,1,327,665.0,665.0,Big Spenders
326,C1030283,21,1,238,50.0,50.0,Hibernating Customers
327,C1030338,23,1,267,451.0,451.0,Big Spenders
328,C1030373,26,1,131,199.0,199.0,Other
329,C1030391,36,1,237,200.0,200.0,Hibernating Customers
330,C1030481,30,1,130,50.0,50.0,Other
331,C1030482,28,1,206,560.0,560.0,Big Spenders
332,C1030553,30,1,109,104.0,104.0,New Customers
333,C1030588,22,1,138,200.0,200.0,Other
334,C1030647,29,1,127,564.0,564.0,Other
335,C1030662,31,1,131,199.0,199.0,Other
336,C1030728,38,1,135,500.0,500.0,Other
337,C1030784,28,1,177,500.0,500.0,Big Spenders
338,C1030872,22,1,237,473.0,473.0,Big Spenders
339,C1030930,29,1,133,200.0,200.0,Other
340,C1030958,29,1,237,50.0,50.0,Hibernating Customers
341,C1031032,29,1,136,500.0,500.0,Other
342,C1031044,24,1,177,38.0,38.0,Hibernating Customers
343,C1031063,33,1,23,200.0,200.0,Other
344,C1031079,31,2,206,592.0,1184.0,Other
345,C1031087,39,1,54,954.0,954.0,Other
346,C1031124,28,1,238,50.0,50.0,Hibernating Customers
347,C1031226,33,1,85,166.0,166.0,New Customers
348,C1031369,26,1,359,60.0,60.0,Hibernating Customers
349,C1031426,26,1,23,38.0,38.0,New Customers
350,C1031486,35,1,145,300.0,300.0,Big Spenders
351,C1031527,25,1,110,330.0,330.0,Other
352,C1031541,27,1,139,21.0,21.0,Other
353,C1031612,25,1,176,250.0,250.0,Hibernating Customers
354,C1031637,31,1,123,119.0,119.0,New Customers
355,C1031739,38,1,137,545.0,545.0,Other
356,C1031832,30,1,139,252.16,252.16,Other
357,C1032011,35,1,53,1000.0,1000.0,Other
358,C1032022,24,1,125,40.0,40.0,New Customers
359,C1032033,24,1,145,140.0,140.0,Hibernating Customers
360,C1032052,24,1,130,100.0,100.0,Other
361,C1032060,38,1,110,1000.0,1000.0,Other
362,C1032130,26,1,328,100.0,100.0,Hibernating Customers
363,C1032162,26,1,123,290.0,290.0,Other
364,C1032172,26,1,207,498.0,498.0,Big Spenders
365,C1032254,25,1,125,100.0,100.0,New Customers
366,C1032486,42,1,123,500.0,500.0,Other
367,C1032547,36,1,138,96.0,96.0,Other
368,C1032770,22,1,124,67.0,67.0,New Customers
369,C1032788,25,1,126,270.0,270.0,Other
370,C1032959,27,1,133,255.0,255.0,Other
371,C1033022,23,1,141,45.0,45.0,Hibernating Customers
372,C1033063,32,1,134,47.0,47.0,Other
373,C1033069,33,1,267,500.0,500.0,Big Spenders
374,C1033119,23,1,85,399.0,399.0,Other
375,C1033224,35,1,298,432.0,432.0,Big Spenders
376,C1033233,28,1,128,1000.0,1000.0,Other
377,C1033270,40,1,206,300.0,300.0,Big Spenders
378,C1033276,33,1,139,350.0,350.0,Other
379,C1033418,27,1,177,100.0,100.0,Hibernating Customers
380,C1033458,29,1,141,315.0,315.0,Big Spenders
381,C1033554,27,1,136,235.55,235.55,Other
382,C1033565,35,1,130,2.79,2.79,Other
383,C1033576,37,1,358,225.0,225.0,Hibernating Customers
384,C1033587,24,1,134,1.0,1.0,Other
385,C1033622,23,1,85,20.0,20.0,New Customers
386,C1033624,37,1,146,543.0,543.0,Big Spenders
387,C1033721,25,1,135,20.86,20.86,Other
388,C1033723,25,1,146,60.0,60.0,Hibernating Customers
389,C1033737,33,1,85,390.0,390.0,Other
390,C1033762,31,1,136,300.0,300.0,Other
391,C1033819,27,1,84,296.0,296.0,Other
392,C1033821,24,1,84,150.0,150.0,New Customers
393,C1033870,24,1,298,50.0,50.0,Hibernating Customers
394,C1033886,27,1,237,50.0,50.0,Hibernating Customers
395,C1033918,28,1,136,175.0,175.0,Other
396,C1033935,39,1,141,633.93,633.93,Big Spenders
397,C1033949,29,1,139,175.0,175.0,Other
398,C1034023,40,1,238,211.0,211.0,Hibernating Customers
399,C1034118,29,1,124,460.0,460.0,Other
400,C1034131,30,1,53,500.0,500.0,Other
401,C1034217,27,1,177,451.0,451.0,Big Spenders
402,C1034252,25,1,177,30.0,30.0,Hibernating Customers
403,C1034270,26,1,129,100.0,100.0,Other
404,C1034289,41,1,132,146.0,146.0,Other
405,C1034385,26,1,98,803.0,803.0,Other
406,C1034436,27,1,268,500.0,500.0,Big Spenders
407,C1034439,28,1,299,198.0,198.0,Hibernating Customers
408,C1034445,29,1,145,40.0,40.0,Hibernating Customers
